Time,0,1,2,3,4,5,6,7
0,1.4285714285714286,20.0,20.0,20.0,6.666666666666667,6.666666666666667,20.0,20.0
0,1.3333333333333333,20.0,20.0,20.0,20.0,5.0,20.0,20.0
6,1.4285714285714286,20.0,20.0,20.0,20.0,3.3333333333333335,20.0,20.0
13,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
29,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0,20.0
36,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
44,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0,20.0
54,1.6666666666666667,20.0,20.0,20.0,20.0,2.5,20.0,20.0
63,6.666666666666667,20.0,20.0,20.0,20.0,1.1764705882352942,20.0,20.0
67,20.0,20.0,20.0,20.0,20.0,1.0526315789473684,20.0,20.0
74,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
86,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
94,20.0,20.0,20.0,20.0,20.0,1.0526315789473684,20.0,20.0
103,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
112,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
122,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
128,20.0,20.0,20.0,20.0,20.0,1.0,20.0,20.0
